grandchildren|внуки
bookshop|книжный магазин
bridge|мост
building|здание
cafe|кафе
car park|парковка
cathedral|собор
cheap|дешевый
church|церковь
coin|монета
corner|угол
crossroads|перекресток
customer|покупатель
dead end|тупик
expensive|дорогой
fountain|фонтан
hospital|больница
left|налево
library|библиотека
lift|лифт
mall|торговый центр
market|рынок
monument|памятник
museum|музей
nightclub|ночной клуб
park|парк
price|цена
public transport|общественный транспорт
receipt|чек
restaurant|ресторан
right|направо
road|дорога
sale|распродажа
school|школа
shop|магазин
square|площадь
stadium|стадион
station|станция
stop|остановка
street|улица
subway|подземный переход, метро
supermarket|супермаркет
university|университет
to cost|стоить
to cross|пересекать, переходить
to find|находить
to go|идти
to go sightseeing|осматривать достопримечательности
to pay|платить
to sell|продавать
to stop|остановиться
and|и
as|как
because|потому что
but|но
if|если
how|как
or|или
finger|палец
fist|кулак
foot|ступня
forehead|лоб
hair|волосы
hand|кистьруки
heart|сердце
heel|пятка
hip|бедро
jaw|челюсть
kidney|почка
knee|колено
leg|нога
lips|губы
little finger|мизинец
liver|печень
lung|легкое
mouth|рот
muscle|мышца
nail|ноготь
neck|шея
nerve|нерв
nose|нос
palm|ладонь
rib|ребро
ring finger|безымянный палец
skeleton|скелет
skin|кожа
skull|череп
stomach|желудок
throat|горло
thumb|большой палец
toe|палец на ноге
tongue|язык
tooth|зуб
wrist|запястье
tobe|быть
to breathe|дышать
to hear|слышать
to hold|держать
to lie|лежать
to look|смотреть
to see|видеть
to sit|сидеть
to speak|говорить
to touch|трогать
to walk|ходить
attractive|привлекательный
bald|лысый
beard|борода
beautiful|красивый
beauty|красота
blond|белокурый
bushy|густой
common|обычный
curly|кудрявый
cute|милый
dark|темный
fair|белокурый
fat|толстый
figure|фигура
flush|румянец
freckles|веснушки
ginger|рыжий
haircut|прическа
height|рост
hooked|крючковатый
moustache|усы
oval|овальный
pale|бледный
plump|пухлый
round|круглый
short|короткий
slim|тонкий
square|квадратный
straight|прямой
tall|высокий
thin|худой
ugly|уродливый
wavy|волнистый
weight|вес
active|активный
angry|злой
blue|грустный
boring|скучный
brave|храбрый
calm|спокойный
careful|осторожный
character|характер
cheerful|радостный
clever|умный
confused|сбитыйстолку
creative|креативный
cruel|жестокий
curious|любопытный
easy-going|легкий на подъем
emotional|эмоциональный
excited|взволнованный
fair|честный
friendly|дружелюбный
generous|щедрый
genius|гениальный
gentle|мягкий
glad|довольный
greedy|жадный
happy|счастливый
hard-working|трудолюбивый
honest|честный
intelligent|умный
jealous|ревнивый
kind|добрый
lazy|ленивый
loyal|верный
lucky|удачливый
moody|хмурый
nervous|нервный
open|открытый
optimistic|оптимистичный
patient|терпеливый
proud|гордый
quiet|тихий
reliable|надежный
romantic|романтичный
rude|грубый
sad|грустный
shy|стеснительный
sensitive|чувствительный
serious|серьезный
stupid|глупый
talented|талантливый
tough|жесткий
upset|расстроенный
wise|мудрый
witty|остроумный
to act|вестися
to behave|вестися
to tell|рассказывать
to try|стараться
adoption|усыновление
aunt|тётя
boyfriend|парень
bride|невеста
brother|брат
brother-in-law|шурин
cousin|двоюродный брат или сестра
daughter|дочь
daughter-in-law|сноха
divorce|развод
engagement|помолвка
ex-husband|бывшиймуж
ex-wife|бывшаяжена
family|семья
father|отец
foster family|приёмная семья
